epoch,accuracy,loss,top3_acc,val_accuracy,val_loss,val_top3_acc
0,0.18006160855293274,4.63002347946167,0.35216227173805237,0.2927102744579315,4.556869029998779,0.5115888118743896
1,0.5085410475730896,3.0015158653259277,0.7641717195510864,0.49906542897224426,3.0776638984680176,0.7777569890022278
2,0.6209145188331604,2.44441556930542,0.8522622585296631,0.5889719724655151,2.607863426208496,0.8383177518844604
3,0.6909629106521606,2.000511884689331,0.895147442817688,0.5005607604980469,3.0597872734069824,0.7478504776954651
4,0.7352882623672485,1.6369621753692627,0.9251109957695007,0.660934567451477,1.726293683052063,0.8949532508850098
5,0.7721326351165771,1.385007619857788,0.9389926791191101,0.5259813070297241,2.560797929763794,0.7732710242271423
6,0.8110173344612122,1.1814680099487305,0.9583150148391724,0.7312149405479431,1.4207180738449097,0.9499065279960632
7,0.8335400223731995,1.0727791786193848,0.9660759568214417,0.8665420413017273,0.8927369117736816,0.9856075048446655
8,0.8550226092338562,0.9607765674591064,0.9733167886734009,0.7762616872787476,1.1561229228973389,0.945794403553009
9,0.8681041598320007,0.9081243872642517,0.9757570624351501,0.7607476711273193,1.2967535257339478,0.9508411288261414
10,0.8713045716285706,0.9051374197006226,0.9761971235275269,0.6373831629753113,3.481602907180786,0.8302803635597229
11,0.886946439743042,0.8506755232810974,0.9800776243209839,0.7671027779579163,1.2527655363082886,0.9433645009994507
12,0.9036684632301331,0.7746477723121643,0.9843981266021729,0.843738317489624,0.9928526282310486,0.974953293800354
13,0.9102292060852051,0.7360964417457581,0.986038327217102,0.8413084149360657,0.940108060836792,0.9732710123062134
14,0.9143097400665283,0.7379525303840637,0.9858782887458801,0.867663562297821,0.7941142320632935,0.9779438972473145
15,0.9212305545806885,0.6721919178962708,0.9887186288833618,0.9147663712501526,0.6181316375732422,0.9914018511772156
16,0.9306716918945312,0.6142091751098633,0.9897587895393372,0.8904672861099243,0.7500584125518799,0.9738317728042603
17,0.9328319430351257,0.5960069894790649,0.9909189343452454,0.8809345960617065,0.7610608339309692,0.9770093560218811
18,0.9364323616027832,0.5822041034698486,0.9925991296768188,0.7760747671127319,1.2066010236740112,0.9538317918777466
19,0.9426330924034119,0.5303807258605957,0.9930391907691956,0.8809345960617065,0.743840217590332,0.9757009148597717
20,0.9465935826301575,0.5054201483726501,0.9938792586326599,0.8891589045524597,0.7072305679321289,0.9826168417930603
21,0.9503540396690369,0.48188912868499756,0.9945993423461914,0.9424299001693726,0.5118085145950317,0.9923364520072937
22,0.957434892654419,0.43574073910713196,0.9955194592475891,0.92710280418396,0.5406546592712402,0.9936448335647583
23,0.9585150480270386,0.4240218698978424,0.9955194592475891,0.9207476377487183,0.5859947204589844,0.9910280108451843
24,0.9629155397415161,0.4006955027580261,0.9964395761489868,0.8680374026298523,0.8691078424453735,0.9719626307487488
25,0.9676761031150818,0.3590628206729889,0.9977997541427612,0.9439252614974976,0.44859766960144043,0.9964485764503479
26,0.9675161242485046,0.3564336597919464,0.9973996877670288,0.9181308150291443,0.5894954204559326,0.9893457889556885
27,0.9729967713356018,0.3221786916255951,0.9983597993850708,0.8736448884010315,0.8802240490913391,0.9755139946937561
28,0.9757971167564392,0.3056495487689972,0.9981997609138489,0.9151402115821838,0.5991359949111938,0.9923364520072937
29,0.9781574010848999,0.28780776262283325,0.9982798099517822,0.9386916160583496,0.487791508436203,0.9957009553909302
30,0.9796775579452515,0.2746213674545288,0.9990798830986023,0.9121495485305786,0.5684571862220764,0.9904673099517822
31,0.9857583045959473,0.24410589039325714,0.9993199110031128,0.9465420842170715,0.40402042865753174,0.9960747957229614
32,0.9869184494018555,0.23044291138648987,0.9993999004364014,0.9336448311805725,0.5288378000259399,0.9925233721733093
33,0.9866383671760559,0.22231298685073853,0.9992799162864685,0.9188784956932068,0.5408124327659607,0.9893457889556885
34,0.9891986846923828,0.20423729717731476,0.9996399283409119,0.9336448311805725,0.5416834354400635,0.9949532747268677
35,0.9924790859222412,0.18635819852352142,0.9998399615287781,0.9353271126747131,0.5045378804206848,0.9943925142288208
36,0.9921190738677979,0.18339228630065918,0.9993999004364014,0.9342055916786194,0.47332319617271423,0.9955140352249146
37,0.9955594539642334,0.1636296808719635,0.9999200105667114,0.9198130965232849,0.6046849489212036,0.9934579730033875
38,0.99519944190979,0.15730492770671844,0.9997999668121338,0.9607476592063904,0.3373942971229553,0.997383177280426
39,0.9965595602989197,0.14815206825733185,0.9999200105667114,0.9571962356567383,0.34705647826194763,0.9971962571144104
40,0.9973596930503845,0.14098291099071503,0.9999600052833557,0.9306542277336121,0.6347289085388184,0.9943925142288208
41,0.9981197714805603,0.13407352566719055,0.9998799562454224,0.9450467228889465,0.4707637131214142,0.997383177280426
42,0.9985198378562927,0.12823720276355743,1.0,0.9534579515457153,0.4006994366645813,0.9975700974464417
43,0.9989198446273804,0.12359490245580673,0.9999600052833557,0.9504672884941101,0.40397316217422485,0.9977570176124573
44,0.999519944190979,0.11872243136167526,1.0,0.9525233507156372,0.4029949903488159,0.9975700974464417
45,0.9993199110031128,0.1165231317281723,1.0,0.9463551640510559,0.4421565532684326,0.9977570176124573
46,0.9996799826622009,0.11422194540500641,1.0,0.952149510383606,0.3930510878562927,0.9986916184425354
47,0.9997999668121338,0.11307967454195023,1.0,0.9527102708816528,0.3977777659893036,0.9983177781105042
48,0.9998799562454224,0.11197245866060257,1.0,0.9532710313796997,0.38932502269744873,0.9985046982765198
